Razão Social|Nome de Pregão|Segmento|Links|Nome de Pregão:|CNPJ:|Atividade Principal:|Classificação Setorial:|Site:|Códigos de Negociação1:|Códigos de Negociação2:|Códigos de Negociação3:|Códigos de Negociação4:|Códigos de Negociação5:|Códigos de Negociação6:|Códigos de Negociação7:|Códigos de Negociação8:|Códigos de Negociação9:|Códigos de Negociação10:|Códigos de Negociação11:|Códigos de Negociação12:|Códigos de Negociação13:|Códigos ISIN1:|Códigos ISIN2:|Códigos ISIN3:|Códigos ISIN4:|Códigos ISIN5:|Códigos ISIN6:|Códigos ISIN7:|Códigos ISIN8:|Códigos CVM:
ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.|ALPER S.A.|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=22217|ALPER S.A.|11.721.921/0001-60|A Companhia Tem Por Objeto Social A Corretagem E Administração de Seguros de Todos Os Ramos. Participação No Capital Social de Outras Sociedades E Prestação de Serviços de Consultoria Empresarial.|Financeiro / Previdência e Seguros / Corretoras de Seguros|http://brin3.com.br/|APER3|APER3|||||||||||| BRAPERACNOR9  ||||||||  22217
ALPHAVILLE S.A.|ALPHAVILLE|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=25275|ALPHAVILLE|16.811.931/0001-00|Holding Controladora Da Alphaville Urbanismo S.A.. Controlada Esta Que Atua No Setor de Urbanismo E Desenvolvimento de Empreendimentos Imobiliários. As Atividades Da Controlada Englobam Concepção. Pla|Consumo Cíclico / Construção Civil / Incorporações||AVLL3|AVLL11|||||||||||| BRAVLLACNOR5| BRAVLLN01OR9  |||||||  25275
ALTERE SECURITIZADORA S.A.|ALTERE SEC||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=18066|ALTERE SEC|02.783.423/0001-50|Aquisição E Securitização de Recebíveis Imobiliários E Agrícola. A Emissão E Colocação No mercado Financeiro. de Certificados E Recebíveis Imobiliários E Certificados de Recebíveis agrícolas|Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis|www.alteresec.com.br|NENHUM||||||||||||| ||||||||  18066
ALUPAR INVESTIMENTO S/A|ALUPAR|N2|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=21490|ALUPAR|08.364.948/0001-38|A Participação em Outras Sociedades Atuantes Nos Setores de Energia E Infra-estrutura. No Brasil Ou No Exterior; A Geração. Transformação. Transporte. A Distribuiçãoe O Comércio de Energia.|Utilidade Pública / Energia Elétrica / Energia Elétrica|www.alupar.com.br|ALUP11|ALUP3|ALUP4|ALUP11|ALUP3||||||||| BRALUPACNOR8| BRALUPACNPR5| BRALUPCDAM15  ||||||  21490
AMBEV S.A.|AMBEV S/A||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=23264|AMBEV S/A|07.526.557/0001-00|Fabricação E Distribuição de Cervejas. Refrigerantes E Bebidas Não Carbonatadas E Não Alcoólicas.|Consumo não Cíclico / Bebidas / Cervejas e Refrigerantes|http://ri.ambev.com.br|ABEV3|ABEV3|||||||||||| BRABEVACNOR1  ||||||||  23264
AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A|AMBIPAR|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24961|AMBIPAR|12.648.266/0001-24|Gerenciamento E Valorização de Resíduos. Bem Como. Prestação de Serviços de Atendimento A Emergência.|Utilidade Pública / água e Saneamento / água e Saneamento||AMBP3|AMBP3|||||||||||| BRAMBPACNOR6  ||||||||  24961
AMPLA ENERGIA E SERVICOS S.A.|AMPLA ENERG||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=3050|AMPLA ENERG|33.050.071/0001-58|Distribuição de Energia Elétrica|Utilidade Pública / Energia Elétrica / Energia Elétrica|http://www.eneldistribuicao.com.br/rj|CBEE3|CBEE3|||||||||||| BRCBEEACNOR3  ||||||||  3050
ANIMA HOLDING S.A.|ANIMA|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=23248|ANIMA|09.288.252/0001-32|Administração. Direta Ou Indireta. de Atividade de Instituições de 3º E 4º Graus. Educação profissional.|Consumo Cíclico / Diversos / Serviços Educacionais|www.animaeducacao.com.br/ri|ANIM3|ANIM3|||||||||||| BRANIMACNOR6  ||||||||  23248
AREZZO INDÚSTRIA E COMÉRCIO S.A.|AREZZO CO|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=22349|AREZZO CO|16.590.234/0001-76|O Principal Ramo de Atividade Da Companhia É A Industrialização E A Comercialização de Artigos de Couro E de Plástico em Geral. Incluindo Sapatos. Bolsas E Acessórios.|Consumo Cíclico / Comércio / Tecidos. Vestuário e Calçados|www.arezzoco.com.br|ARZZ3|ARZZ3|||||||||||| BRARZZACNOR3  ||||||||  22349
ATACADÃO S.A.|CARREFOUR BR|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24171|CARREFOUR BR|75.315.333/0001-09|Comércio Varejista E Atacadista de Mercadorias em Geral; Carga E Descarga; Correspondentes de Instituições Financeiras; Atividades de Teleatendimento; Serviços de Alimentação Entre Outros|Consumo não Cíclico / Comércio e Distribuição / Alimentos|www.grupocarrefourbrasil.com.br|CRFB3|CRFB3|||||||||||| BRCRFBACNOR2  ||||||||  24171
ATMA PARTICIPAÇÕES S.A.|ATMASA|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=19100|ATMASA|04.032.433/0001-80|A Atma Participações S.A. Tem Como Objeto Social A Participação. Direta E Indireta. em Outras Sociedades Comerciais E Civis. Como Sócia. Acionista Ou Quotista. No País Ou No Exterior.|Bens Industriais / Serviços / Serviços Diversos|www.liq.com.br|NENHUM|ATMP3|||||||||||| BRATMPACNOR8  ||||||||  19100
ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.|ATOMPAR||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=15423|ATOMPAR|00.359.742/0001-08|Holding de Instituições Não Financeiras.|Outros / Outros / Outros|www.atompar.com.br|ATOM3|ATOM3|||||||||||| BRATOMACNOR1  ||||||||  15423
AURA MINERALS INC.|AURA 360|DR3|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=80187|AURA 360|07.857.093/0001-14|Aproveitamento de Jazidas Minerais. Principalmente Por Meio de Exploração E Extração de Minérios. Com Foco em Ouro E Cobre.|Materiais Básicos / Mineração / Minerais Metálicos||AURA33|AURA33|||||||||||| BRAURABDR001  ||||||||  80187
AZEVEDO E TRAVASSOS S.A.|AZEVEDO||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=11975|AZEVEDO|61.351.532/0001-68|Execução de Obras de Construção Pesada Junto à Orgãos Púbicos.|Bens Industriais / Construção e Engenharia / Construção Pesada|www.azevedotravassos.com.br|AZEV3|AZEV4|AZEV3||||||||||| BRAZEVACNOR0| BRAZEVACNPR7  |||||||  11975
AZUL S.A.|AZUL|N2|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24112|AZUL|09.305.994/0001-29|Transporte E Logística|Bens Industriais / Transporte / Transporte Aéreo|www.voeazul.com.br|AZUL4|AZUL4|||||||||||| BRAZULACNPR4  ||||||||  24112
B2W - COMPANHIA DIGITAL|B2W DIGITAL|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=20990|B2W DIGITAL|00.776.574/0001-56|Comércio Varejista E Atacadista em Geral de Quaisquer Bens E Serviços Através de Diversos Meios. em Especial Da Internet. Sem Restrição A Outros Meios.|Consumo Cíclico / Comércio / Produtos Diversos|http://www.b2wdigital.com|BTOW3|BTOW3|||||||||||| BRBTOWACNOR8  ||||||||  20990
B3 S.A. - BRASIL. BOLSA. BALCÃO|B3|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=21610|B3|09.346.601/0001-25|Principais Atividades: Administrar Mercados Organizados de Títulos E Valores Mobiliários; Prestar Serviços de Registro. Compensação E Liquidação E de Suporte à Operações de Financiamento|Financeiro / Serviços Financeiros Diversos / Serviços Financeiros Diversos|www.b3.com.br|B3SA3|B3SA3|||||||||||| BRB3SAACNOR6  ||||||||  21610
BAHEMA EDUCAÇÃO S.A.|BAHEMA|MA|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=701|BAHEMA|45.987.245/0001-92|Prestação de Serviços Educacionais. Diretamente Ou Por Meio de Participação em Outras Sociedades. Nas áreas de Educação Pré-escolar. Infantil E Básica (ensino Fundamental Ao Ensino Médio)|Consumo Cíclico / Diversos / Serviços Educacionais|www.bahema.com.br|BAHI3|BAHI11|||||||||||| BRBAHIACNOR1| BRBAHIN01OR5  |||||||  701
BANCO BMG S.A.|BANCO BMG|N1|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24600|BANCO BMG|61.186.680/0001-74|Prática de Todas As Operações Ativas. Passivas E Acessórias Permitidas Nas Normas Legais E Regulamentares Para O Funcionamento Dos Bancos Com Carteira Comercial. de Investimento. Inclusive Câmbio|Financeiro / Intermediários Financeiros / Bancos|www.bancobmg.com.br/ri|BMGB4|BMGB4|||||||||||| BRBMGBACNPR0  ||||||||  24600
BANCO INTER S.A.|BANCO INTER|N2|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24406|BANCO INTER|00.416.968/0001-01|Banco Múltiplo Com Carteira de Crédito. Financiamento. Investimento E Câmbio.|Financeiro / Intermediários Financeiros / Bancos|http://ri.bancointer.com.br/|BIDI11|BIDI3|BIDI4|BIDI11|BIDI3||||||||| BRBIDIACNOR3| BRBIDIACNPR0| BRBIDICDAXX3  ||||||  24406
BANESTES S.A. - BCO EST ESPIRITO SANTO|BANESTES||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=1155|BANESTES|28.127.603/0001-78|Intermediação Financeira Inerente Aos Bancos Múltiplos Por Meio Das Carteiras Autorizadas. Inclusive Operações de Câmbio.|Financeiro / Intermediários Financeiros / Bancos|www.banestes.com.br|BEES3|BEES4|BEES3||||||||||| BRBEESACNOR9| BRBEESACNPR6  |||||||  1155
BARDELLA S.A. INDUSTRIAS MECANICAS|BARDELLA||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=1520|BARDELLA|60.851.615/0001-53|Bens de Capital. Produtos E Serviços Para Os Segmentos de Metalurgia. Movimentação de Materiais. óleo E Gás. Energia E Aços Laminados E Trefilados. Para Os Mercados Nacional E Internacional|Bens Industriais / Máquinas e Equipamentos / Máq. e Equip. Industriais|www.bardella.com.br|BDLL3|BDLL4|BDLL3||||||||||| BRBDLLACNOR1| BRBDLLACNPR8  |||||||  1520
BATTISTELLA ADM PARTICIPACOES S.A.|BATTISTELLA||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=15458|BATTISTELLA|42.331.462/0001-31|Com.de Caminhões E ónibus Scania. Seus Acessórios E Prest.serv.assist.técnica; Industrializ.e Com. de Madeiras; Prestação de Serviços Sob A Forma de Trading Company; Partic. em Outras Sociedades.|Bens Industriais / Comércio / Material de Transporte|www.battistella.com.br|BTTL3|BTTL3|||||||||||| BRBTTLACNOR0  ||||||||  15458
BAUMER S.A.|BAUMER||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=1562|BAUMER|61.374.161/0001-30|Fabricação Aparelhos E Instrumentos P/ Uso Medico Hospitalar E Ortopedia|Saúde / Equipamentos / Equipamentos|www.baumer.com.br|BALM3|BALM4|BALM3||||||||||| BRBALMACNOR5| BRBALMACNPR2  |||||||  1562
BB SEGURIDADE PARTICIPAÇÕES S.A.|BBSEGURIDADE|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=23159|BBSEGURIDADE|17.344.597/0001-94|Participação No Capital Social de Outras Sociedades. Que Tenham Por Atividade Operações de Seguros. Resseguros. Previdências Complementar Ou Capitalização.|Financeiro / Previdência e Seguros / Seguradoras|www.bbseguridaderi.com.br|BBSE3|BBSE3|||||||||||| BRBBSEACNOR5  ||||||||  23159
BBM LOGISTICA S.A.|BBMLOGISTICA|MA|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24660|BBMLOGISTICA|01.107.327/0001-20|Prestação de Serviços Logísticos Através de Operações Dedicadas E Transporte de Carga Geral Fracionada.|Bens Industriais / Serviços / Serviços Diversos||BBML3|BBML3|||||||||||| BRBBMLACNOR3  ||||||||  24660
BCO ABC BRASIL S.A.|ABC BRASIL|N2|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=20958|ABC BRASIL|28.195.667/0001-06|O Banco Tem Por Objeto A Prática de Operações Ativas. Passivas E Acessórias Inerentes às Respectivas Carteiras Autorizadas Pelo Banco Central Do Brasil.|Financeiro / Intermediários Financeiros / Bancos|www.abcbrasil.com.br|ABCB4|ABCB10|||||||||||| BRABCBACNPR4| BRABCBR17PR5  |||||||  20958
BCO ALFA DE INVESTIMENTO S.A.|ALFA INVEST||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=1384|ALFA INVEST|60.770.336/0001-65|Operações Permitidas à Sociedade Da Espécie em Lei. Atividades de Administração de Carteira de Valores Mobiliários. Consultoria de Valores Mobiliários E Operações de Câmbio.|Financeiro / Intermediários Financeiros / Bancos|www.alfanet.com.br|BRIV3|BRIV4|BRIV3||||||||||| BRBRIVACNOR6| BRBRIVACNPR3  |||||||  1384
BCO AMAZONIA S.A.|AMAZONIA||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=922|AMAZONIA|04.902.979/0001-44||Financeiro / Intermediários Financeiros / Bancos|www.bancoamazonia.com.br|BAZA3|BAZA3|||||||||||| BRBAZAACNOR0  ||||||||  922
BCO BRADESCO S.A.|BRADESCO|N1|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=906|BRADESCO|60.746.948/0001-12|Prática de Operações Bancárias em Geral. Inclusive Câmbio|Financeiro / Intermediários Financeiros / Bancos|www.bradesco.com.br|BBDC3|BBDC4|BBDC3||||||||||| BRBBDCACNOR1| BRBBDCACNPR8  |||||||  906
BCO BRASIL S.A.|BRASIL|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=1023|BRASIL|00.000.000/0001-91|Banco Múltiplo|Financeiro / Intermediários Financeiros / Bancos|www.bb.com.br|BBAS11|BBAS12|BBAS3|BBAS11|BBAS12||||||||| BRBBASA04OR8| BRBBASA05OR5| BRBBASACNOR3  ||||||  1023
BCO BTG PACTUAL S.A.|BTGP BANCO|N2|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=22616|BTGP BANCO|30.306.294/0001-45|A Companhia E Suas Controladas Formam Um Grupo de Prestação de Serviços Financeiros sediado No Brasil. Atuando Como Banco Múltiplo. Com Carteira de Investimento. Nos Termos Da legislação Aplicável.|Financeiro / Intermediários Financeiros / Bancos|www.btgpactual.com|BPAC11|BPAC3|BPAC5|BPAC11|BPAC3||||||||| BRBPACACNOR7| BRBPACACNPA0| BRBPACUNT006  ||||||  22616
BCO ESTADO DE SERGIPE S.A. - BANESE|BANESE||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=1120|BANESE|13.009.717/0001-46||Financeiro / Intermediários Financeiros / Bancos|www.banese.com.br|BGIP3|BGIP4|BGIP3||||||||||| BRBGIPACNOR1| BRBGIPACNPR8  |||||||  1120
BCO ESTADO DO PARA S.A.|BANPARA||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=1171|BANPARA|04.913.711/0001-08||Financeiro / Intermediários Financeiros / Bancos|www.banpara.b.br|BPAR3|BPAR3|||||||||||| BRBPARACNOR5  ||||||||  1171
BCO ESTADO DO RIO GRANDE DO SUL S.A.|BANRISUL|N1|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=1210|BANRISUL|92.702.067/0001-96|Banco Múltiplo Atuante Nas Carteiras Comercial. Crédito. Financiamento E Investimento. Crédito Imobiliário. Desenvolvimento E Arrendamento Mercantil E de Investimentos.|Financeiro / Intermediários Financeiros / Bancos|www.banrisul.com.br/ri|BRSR3|BRSR5|BRSR6|BRSR3|BRSR5||||||||| BRBRSRACNOR3| BRBRSRACNPA6| BRBRSRACNPB4  ||||||  1210
BCO MERCANTIL DE INVESTIMENTOS S.A.|MERC INVEST||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=1309|MERC INVEST|34.169.557/0001-72|Investimentos / Financiamentos|Financeiro / Intermediários Financeiros / Bancos|www.mercantildobrasil.com.br|BMIN3|BMIN4|BMIN3||||||||||| BRBMINACNOR4| BRBMINACNPR1  |||||||  1309
BCO MERCANTIL DO BRASIL S.A.|MERC BRASIL|N1|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=1325|MERC BRASIL|17.184.037/0001-10|Finanças. Banco Múltiplo|Financeiro / Intermediários Financeiros / Bancos|www.mercantildobrasil.com.br|BMEB3|BMEB4|BMEB3||||||||||| BRBMEBACNOR8| BRBMEBACNPR5  |||||||  1325
BCO NORDESTE DO BRASIL S.A.|NORD BRASIL||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=1228|NORD BRASIL|07.237.373/0001-20|Banco Múltiplo Com Carteira Comercial|Financeiro / Intermediários Financeiros / Bancos|www.bnb.gov.br|BNBR3|BNBR3|||||||||||| BRBNBRACNOR8  ||||||||  1228
BCO PAN S.A.|BANCO PAN|N1|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=21199|BANCO PAN|59.285.411/0001-13|Banco Múltiplo Com Carteira Comercial|Financeiro / Intermediários Financeiros / Bancos|www.bancopan.com.br|BPAN4|BPAN4|||||||||||| BRBPANACNPR1  ||||||||  21199
BCO PINE S.A.|PINE|N2|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=20567|PINE|62.144.175/0001-20|Banco Regional Brasileiro. de Capital Aberto. Que Há Mais de Vinte Anos Destaca-se em Financiar E Assessorar Grandes E Médias Empresas.|Financeiro / Intermediários Financeiros / Bancos|www.pine.com|PINE3|PINE4|PINE3||||||||||| BRPINEACNOR1| BRPINEACNPR8  |||||||  20567
BCO SANTANDER (BRASIL) S.A.|SANTANDER BR||http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=20532|SANTANDER BR|90.400.888/0001-42|Banco Múltiplo Com Carteira Comercial|Financeiro / Intermediários Financeiros / Bancos|www.santander.com.br|SANB11|SANB3|SANB4|SANB11|SANB3||||||||| BRSANBACNOR8| BRSANBACNPR5| BRSANBCDAM13  ||||||  20532
BEMOBI MOBILE TECH S.A.|BEMOBI TECH|NM|http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=25500|BEMOBI TECH|09.042.817/0001-05|Desenvolvimento E Licenciamento de Programas de Computador Não-customizáveis|Tecnologia da Informação / Programas e Serviços / Programas e Serviços||BMOB3|BMOB3|||||||||||| BRBMOBACNOR7  ||||||||  25500
